42,SEVASTOPOL,44.616667,N,33.533333,E,119,1875,1994,94.44%,,,,
68,LANDSORT,58.742222,N,17.865278,E,119,1887,2006,99.72%,,,,
96,HALIFAX,44.666667,N,63.583333,W,119,1895,2014,78.61%,,,,
155,HONOLULU,21.306667,N,157.866667,W,118,1905,2023,100.00%,,,,
158,SAN DIEGO (QUARANTINE STATION),32.713333,N,117.173333,W,118,1906,2024,98.53%,,,,
984,BELLA BELLA,52.166667,N,128.133333,W,118,1906,2024,52.73%,,,,
34,TRONDHEIM,63.433333,N,10.433333,E,117,1872,1989,39.83%,,,,
161,"GALVESTON II, PIER 21, TX",29.31,N,94.793333,W,116,1908,2024,99.22%,,,,
165,TOFINO,49.15,N,125.916667,W,115,1909,2024,78.59%,,,,
166,VICTORIA,48.416667,N,123.366667,W,115,1909,2024,98.92%,,,,
167,PRINCE RUPERT,54.316667,N,130.333333,W,115,1909,2024,82.69%,,,,
175,VANCOUVER,49.283333,N,123.116667,W,115,1909,2024,83.48%,,,,
172,MANTYLUOTO,61.594383,N,21.463433,E,114,1910,2024,98.12%,,,,
174,KO LAK,11.8,N,99.816667,E,114,1910,2024,76.30%,,,,
64,GDANSK - NOWY PORT,54.4,N,18.683333,E,113,1886,1999,89.47%,,,,
179,SMOGEN,58.353611,N,11.217778,E,113,1911,2024,100.00%,,,,
427,CHARLOTTETOWN,46.233333,N,63.116667,W,113,1911,2024,82.31%,,,,
163,BALBOA,8.966667,N,79.566667,W,112,1908,2020,99.41%,,,,
180,ATLANTIC CITY,39.355,N,74.418333,W,112,1911,2023,92.99%,,,,
183,PORTLAND  (MAINE),43.656667,N,70.246667,W,112,1912,2024,99.78%,,,,
52,CASCAIS,38.683333,N,9.416667,W,111,1882,1993,92.56%,,,,
196,"SYDNEY, FORT DENISON 2",33.854667,S,151.225778,E,111,1914,2025,97.47%,,,,
188,KEY WEST,24.555,N,81.806667,W,110,1913,2023,99.25%,,,,
189,PORT HEDLAND,20.317583,S,118.574417,E,110,1913,2023,55.71%,,,,
192,NEUVILLE,46.7,N,71.566667,W,110,1914,2024,73.72%,,,,
193,POINT ATKINSON,49.333333,N,123.25,W,110,1914,2024,79.73%,,,,
194,PIETARSAARI  or  JAKOBSTAD,63.708567,N,22.689583,E,110,1914,2024,98.05%,,,,
201,DESCHAILLONS,46.566667,N,72.1,W,109,1915,2024,77.88%,,,,
202,NEWLYN,50.103,N,5.542833,W,109,1915,2024,97.65%,,,,
203,FURUOGRUND,64.915833,N,21.230556,E,108,1916,2024,99.77%,,,,
2105,VISBY,57.639167,N,18.284444,E,108,1916,2024,99.62%,,,,
65,"SYDNEY, FORT DENISON",33.85,S,151.233333,E,107,1886,1993,100.00%,,,,
205,CHENNAI,13.1,N,80.3,E,107,1916,2023,63.04%,,,,
208,ALICANTE 1,38.338271,N,0.477877,W,107,1916,2023,69.83%,,,,
215,TUAPSE,44.1,N,39.066667,E,106,1917,2023,98.75%,,,,
216,PORT PIRIE,33.177644,S,138.01165,E,106,1917,2023,85.44%,,,,
221,WELLINGTON HARBOUR,41.28434,S,174.7798,E,106,1918,2024,81.31%,,,,
224,LEWES (BREAKWATER HARBOR),38.781667,N,75.12,W,105,1919,2024,77.44%,,,,
225,KETCHIKAN,55.331667,N,131.625,W,105,1919,2024,99.06%,,,,
21,ABERDEEN II,57.15,N,2.083333,W,103,1862,1965,99.52%,,,,
229,KEMI,65.673367,N,24.51525,E,103,1920,2023,96.79%,,,,
230,PORT LINCOLN,34.715903,S,135.870011,E,103,1920,2023,60.74%,,,,
173,QUEBEC (LAUZON),46.833333,N,71.166667,W,102,1910,2012,75.00%,,,,
234,CHARLESTON I,32.781667,N,79.925,W,102,1921,2023,99.27%,,,,
235,BOSTON,42.353333,N,71.053333,W,102,1921,2023,99.11%,,,,
236,WEST-TERSCHELLING,53.363056,N,5.22,E,102,1921,2023,100.00%,,,,
240,RAAHE or BRAHESTAD,64.666333,N,24.40705,E,102,1922,2024,93.45%,,,,
31,NEDRE SODERTALJE,59.2,N,17.616667,E,101,1869,1970,100.00%,,,,
169,CRISTOBAL,9.35,N,79.916667,W,101,1909,2010,94.12%,,,,
239,TURKU or ABO,60.428283,N,22.100533,E,101,1922,2023,98.28%,,,,
245,LOS ANGELES,33.72,N,118.271667,W,101,1923,2024,98.20%,,,,
246,PENSACOLA,30.403333,N,87.21,W,101,1923,2024,98.37%,,,,
249,FOGLO or DEGERBY,60.031883,N,20.384817,E,101,1923,2024,95.10%,,,,
204,KARACHI,24.811667,N,66.975,E,100,1916,2016,57.10%,,,,
255,DOVER,51.114389,N,1.322667,E,100,1924,2024,78.05%,,,,
256,LA JOLLA (SCRIPPS PIER),32.866667,N,117.256667,W,100,1924,2024,96.29%,,,,
72,YSTAD,55.416667,N,13.816667,E,99,1887,1986,100.00%,,,,
265,ASTORIA (TONGUE POINT),46.206667,N,123.768333,W,99,1925,2024,98.75%,,,,
266,SEWARD,60.12,N,149.426667,W,99,1925,2024,87.75%,,,,
285,KASKINEN or KASKO,62.34395,N,21.214833,E,98,1926,2024,97.39%,,,,
150,AUCKLAND II,36.84307,S,174.76946,E,97,1903,2000,95.83%,,,,
286,IMMINGHAM,53.630222,N,0.187417,W,97,1926,2023,56.12%,,,,
299,"SEWELLS POINT, HAMPTON ROADS",36.946667,N,76.33,W,97,1927,2024,99.23%,,,,
302,TREGDE,58.006377,N,7.554759,E,97,1927,2024,97.02%,,,,
