time,observed,model,forcing,residual
1887.125,-1.426501630046363,-1.0144596896683085,5.682977271262911e-07,0.41204194037805464
1887.2083,-1.1472084141976788,-0.20648609603341117,-0.015149533369043008,0.9407223181642677
1887.2917,-0.9021505376830857,-0.33278549806227853,-0.015126764166705987,0.5693650396208072
1887.375,-0.7785930516767078,-0.4121055967277422,-0.015104029185658983,0.36648745494896556
1887.4583,-0.42739712283181047,-0.45469373598289264,-0.015081328374468633,-0.027296613151082172
1887.5417,-0.4895775094808184,-0.5209663556494275,-0.015058661681778874,-0.0313888461686091
1887.625,-0.20984227311186746,-0.653413556574353,-0.01503602905631083,-0.44357128346248553
1887.7083,-0.45320857109697965,-0.8241453932572573,-0.015013430446862696,-0.3709368221602777
1887.7917,-0.778310413555576,-0.9533958405298453,-0.014990865802309619,-0.17508542697426932
1887.875,-0.7274376768504973,-0.982293565816121,-0.014968335071603589,-0.2548558889656237
1887.9583,-0.758304734816213,-0.9297970985205077,-0.014945838203773315,-0.17149236370429477
1888.0417,-0.7564750248741489,-0.8759392910315502,-0.014923375147924117,-0.11946426615740136
1888.125,-0.7873463330371747,-0.8891072529469183,-0.014900945853237806,-0.10176091990974356
1888.2083,-1.112463051186357,0.21111644477750383,0.05404716666029924,1.3235794959638607
1888.2917,-1.0779471988297886,-0.05425275561852155,0.05396593571783696,1.0236944432112671
1888.375,-1.2722938461370927,-0.27197192597546654,0.05388482686255189,1.0003219201616262
1888.4583,-1.0743175303268322,-0.4342792293757754,0.05380383991095139,0.6400383009510568
1888.5417,-1.4811782933441187,-0.585319407093291,0.053722974679818625,0.8958588862508277
1888.625,-1.0706963622184962,-0.7545187339501772,0.053642230986212125,0.31617762826831897
1888.7083,-1.183318090545592,-0.90509293808681,0.05356160864746536,0.278225152458782
1888.7917,-0.8545759540907637,-0.953393613034994,0.05348110748118637,-0.09881765894423034
1888.875,-0.9018147720955757,-0.842045982917606,0.05340072730525729,0.05976878917796968
1888.9583,-0.9817503580081673,-0.596657904892398,0.05332046793783399,0.38509245311576934
1889.0417,-0.8001373018423824,-0.30858581712376276,0.05324032919734564,0.49155148471861965
1889.125,-0.5694875942095484,-0.06129447709775118,0.053160310902494325,0.5081931171117973
1889.2083,-0.5023089755236826,-0.4475481416611561,-0.06394511386777679,0.0547608338625265
1889.2917,-0.33705067860775306,-0.5234865349007263,-0.06384900666759764,-0.1864358562929732
1889.375,-0.6131626217697129,-0.5543848568259871,-0.06375304391307458,0.058777764943725774
1889.4583,-0.6767668245176557,-0.5512221379067822,-0.063657225387111,0.12554468661087348
1889.5417,-1.1980854011000677,-0.5751070133681642,-0.06356155087293656,0.6229783877319035
1889.625,-1.1309195330061323,-0.669183577003639,-0.06346602015410675,0.4617359560024934
1889.7083,-1.6685907437397445,-0.8061049851014375,-0.06337063301450235,0.862485758638307
1889.7917,-1.5687344830339949,-0.9065906126079722,-0.06327538923832897,0.6621438704260226
1889.875,-1.665046079182993,-0.9121478405182352,-0.06318028861011653,0.7528982386647579
1889.9583,-1.1074839450373948,-0.8420416353794814,-0.06308533091471881,0.2654423096579134
1890.0417,-0.8114725780688284,-0.7765425626653929,-0.06299051593731295,0.034930015403435544
1890.125,-0.7770162284746037,-0.7841142715565518,-0.06289584346339894,-0.007098043081948058
1890.2083,-1.0041127711560658,-0.6751377965049641,-0.010921876492760108,0.3289749746511017
1890.2917,-0.7244540383386994,-0.6668526690967381,-0.010905461306252001,0.05760136924196124
1890.375,-0.5265372252907824,-0.6107958356050867,-0.010889070791177258,-0.08425861031430426
1890.4583,-0.6228658222290215,-0.5183688776757159,-0.010872704910455604,0.1044969445533056
1890.5417,-0.7518890619763855,-0.4511213059647033,-0.010856363627062495,0.3007677560116822
1890.625,-0.6357120435992626,-0.45257446552967007,-0.010840046904029033,0.18313757806959252
1890.7083,-0.5849264359390441,-0.49586322552620843,-0.010823754704441883,0.08906321041283571
1890.7917,-0.7139581760810286,-0.5021961351488334,-0.01080748699144319,0.2117620409321952
1890.875,-0.8593404252755578,-0.4135218049646386,-0.010791243728230492,0.4458186203109192
1890.9583,-0.8085611929113048,-0.24962418392609537,-0.010775024878056646,0.5589370089852095
1891.0417,-0.986642335112269,-0.09128887610670611,-0.010758830404229732,0.8953534590055628
1891.125,-0.9849082546096857,-0.007470729527295272,-0.010742660270112982,0.9774375250823903
1891.2083,-0.9831784243044125,-1.058842135317267,-0.009209078143069,-0.07566371101285452
1891.2917,-0.932409817433435,-1.1683772314140948,-0.009195237230714203,-0.2359674139806598
1891.375,-1.4864804144886599,-1.223271211530989,-0.00918141712075155,0.2632092029576709
1891.4583,-1.6809205661367899,-1.2338015098420572,-0.009167617781915795,0.4471190562947327
1891.5417,-1.368607567384746,-1.260476854478549,-0.009153839182988685,0.10813071290619702
1891.625,-0.958217015501294,-1.3459353213519556,-0.009140081292798884,-0.3877183058506616
1891.7083,-1.2507474708727628,-1.462504496358013,-0.009126344080221905,-0.2117570254852501
1891.7917,-1.4125036052050435,-1.5306942369466117,-0.009112627514180044,-0.11819063174156819
1891.875,-1.1328958747554003,-1.4919691030789537,-0.009098931563642302,-0.3590732283235534
1891.9583,-0.8859849122135367,-1.3656824459450736,-0.009085256197624321,-0.4796975337315369
1892.0417,-0.49195336977725,-1.2323116770762939,-0.009071601385188309,-0.7403583072990438
1892.125,-0.34313058586007056,-1.1607544131935648,-0.009057967095442973,-0.8176238273334941
1892.2083,-0.39047140860032853,-0.6344160205535783,0.037374830646461826,-0.24394461195324973
1892.2917,-0.5195477758140705,-0.8142123062821375,0.03731865762379697,-0.29466453046806695
1892.375,-0.861138258737795,-0.9194668349857849,0.03726256902715949,-0.058328576247989816
1892.4583,-0.6142442969851724,-0.9540620037256355,0.037206564729660115,-0.3398177067404632
1892.5417,-0.8250625839683637,-0.9738411994860277,0.037150644604600276,-0.14877861551766391
1892.625,-1.0358851211488653,-1.0189115794074977,0.03709480852547183,0.01697354174136767
1892.7083,-1.1486301051979586,-1.0610739976247527,0.03703905636595678,0.08755610757320587
1892.7917,-0.7546198137482232,-1.0224887443812944,0.03698338799992696,-0.26786893063307127
1892.875,-0.8019818874750325,-0.8484863770489113,0.036927803301443796,-0.04650448957387876
1892.9583,-0.7676126669256681,-0.5640355523829247,0.03687230214475797,0.2035771145427434
1893.0417,-0.7986306068958976,-0.25681794670708125,0.03681688440430919,0.5418126601888164
1893.125,-0.8950399575830317,-0.004238034727004736,0.03676154995472585,0.8908019228560269
1893.2083,-0.6154747291064908,1.028766923576851,0.032362535839826644,1.6442416526833419
1893.2917,-0.36860201834041945,0.9281030201905854,0.03231389611550471,1.2967050385310048
1893.375,0.07442792378712391,0.8466262343341077,0.03226532949493441,0.7721983105469837
1893.4583,0.533801999671247,0.7792681894042996,0.032216835868243435,0.24546618973305268
1893.5417,0.3393002201621185,0.6717056257917482,0.03216841512572462,0.33240540562962967
1893.625,0.9784852685524789,0.4879794430789722,0.03212006715783568,-0.4905058254735067
1893.7083,1.2253431036279643,0.26293811448276994,0.03207179185519897,-0.9624049891451943
1893.7917,0.8510154759220127,0.08319048984243932,0.03202358910860124,-0.7678249860795734
1893.875,0.6728493297748435,0.013895696597851337,0.03197545880899337,-0.6589536331769921
1893.9583,0.788922218317865,0.041758418431867506,0.03192740084749016,-0.7471637998859975
1894.0417,0.8069154286308229,0.0913637036711632,0.03187941511537004,-0.7155517249596597
1894.125,0.9229840669765342,0.09763493223521502,0.031831501504074856,-0.8253491347413192
1894.2083,1.0227043213683558,-0.32679115253985114,-0.05596159183505099,-1.349495473908207
1894.2917,0.5175874969326301,-0.3424238252860823,-0.055877483580588326,-0.8600113222187123
1894.375,0.1759353861479069,-0.31417384683818006,-0.05579350173779904,-0.490109232986087
1894.4583,-0.13302633202500183,-0.25303152626928416,-0.05570964611669094,-0.12000519424428233
1894.5417,-0.22947605958658324,-0.2201139386840063,-0.055625916527557405,0.009362120902576931
1894.625,-0.37497306410848935,-0.2585785722344309,-0.05554231278097691,0.11639449187405843
1894.7083,-0.9781865675635197,-0.3410725360451258,-0.05545883468781264,0.637114031518394
1894.7917,-1.1073394383288462,-0.3883109198503013,-0.055375482059212035,0.7190285184785449
1894.875,-1.0076404349235761,-0.3417973145880525,-0.05529225470660639,0.6658431203355236
1894.9583,-0.9569844582813205,-0.22079143637229948,-0.0552091524417104,0.736193021909021
1895.0417,-0.742859517790752,-0.10556486503451112,-0.05512617507652175,0.6372946527562409
1895.125,-0.659515273635337,-0.06458214515935001,-0.055043322423320676,0.594933128475987
1895.2083,-0.4944376101050932,0.4710468808913424,0.08857449054012204,0.9654844909964355
1895.2917,-0.44379013385745797,0.13974715550361394,0.08844136627497946,0.583537289361072
1895.375,-0.1479423994853363,-0.08718546100873281,0.08830844209080672,0.06075693847660349
1895.4583,-0.064608780823197,-0.19101119129665511,0.08817571768688934,-0.12640241047345813
1895.5417,-0.2591721881933241,-0.2156465867958769,0.08804319276296478,0.04352560139744721
1895.625,-0.12680191806413568,-0.20167933823568152,0.08791086701922182,-0.07487742017154583
1895.7083,0.11999428915035108,-0.13418536636954148,0.08777874015629983,-0.2541796555198926
1895.7917,0.12158598804304101,0.04069489613985633,0.0876468118752881,-0.08089109190318468
1895.875,0.13952182069231053,0.34671695421888743,0.08751508187772518,0.2071951335265769
1895.9583,0.3536148847030522,0.7252565974505315,0.08738354986559821,0.3716417127474793
1896.0417,0.7311790376607618,1.0575373247858082,0.0872522155413422,0.32635828712504644
1896.125,0.7000654682510513,1.2426685030197655,0.08712107860783942,0.5426030347687142
1896.2083,0.5545195864600774,0.6939376401563278,0.008124259114234977,0.13941805369625038
