time,observed,model,forcing,residual
1880.083333,-0.6411171159966912,-0.6406071366771998,-0.01697199327918889,0.0005099793194913715
1880.166667,-0.5014447331243413,-0.6587933732241464,-0.016946668564711772,-0.1573486400998051
1880.25,-0.6931163581050118,-0.7001775274338286,-0.016921381638439776,-0.00706116932881673
1880.333333,-0.9603682768477764,-0.7450834526856037,-0.01689613244398733,0.21528482416217265
1880.416667,-0.8460908726794902,-0.7536510828933121,-0.016870920925053004,0.09243978978617817
1880.5,-0.240843880232641,-0.7108683893682188,-0.016845747025419373,-0.4700245091355778
1880.583333,0.20598681648885897,-0.6480099166517588,-0.016820610688952894,-0.8539967331406177
1880.666667,0.1709175601832473,-0.6171528485152594,-0.016795511859603793,-0.7880704086985068
1880.75,0.10682547107299158,-0.6425933406210734,-0.01677045048140592,-0.749418811694065
1880.833333,0.04757052076350986,-0.6967555903202722,-0.016745426498476643,-0.7443261110837821
1880.916667,-0.306749896393187,-0.7246408565976123,-0.01672043985501671,-0.41789096020442534
1881.0,-0.5250257847781146,-0.6932642977635264,-0.016695490495310134,-0.16823851298541181
1881.083333,-0.16405430177035346,-0.6182652977317203,-0.016670578363724056,-0.4542109959613669
1881.166667,0.3257060018080159,-0.5429520076531404,-0.016645703404708643,-0.8686580094611563
1881.25,0.5028662103863644,-0.6185154409962531,-0.016620865562796936,-1.1213816513826176
1881.333333,0.18119648013489212,-0.5753627528656393,-0.016596064782604752,-0.7565592330005314
1881.416667,-0.16526358647054695,-0.4994092780519964,-0.016571301008830544,-0.33414569158144947
1881.5,-0.009870502495681669,-0.3720444193421137,-0.016546574186255283,-0.362173916846432
1881.583333,0.15398757438053823,-0.22845916193075413,-0.01652188425974234,-0.38244673631129233
1881.666667,0.15096436263005453,-0.1316675303963723,-0.01649723117423735,-0.28263189302642683
1881.75,0.06329122186602543,-0.11576636654510844,-0.016472614874768105,-0.17905758841113387
1881.833333,-0.06307902930419579,-0.15384834457414343,-0.016448035306444418,-0.09076931526994764
1881.916667,0.08989548527028249,-0.18247043697064697,-0.016423492414458007,-0.2723659222409295
1882.0,0.4563087494289145,-0.1591771201161068,-0.016398986144082375,-0.6154858695450213
1882.083333,0.45751803412910796,-0.0974431455721824,-0.01637451644067268,-0.5549611797012903
1882.166667,0.033059104361187856,-0.046352164203523644,-0.016350083249665626,-0.0794112685647115
1882.25,-0.26805278598699483,-0.03738741914097917,-0.016325686516579323,0.23066536684601566
1882.333333,-0.5564671869831458,-0.06662173943447368,-0.016301326187013188,0.4898454475486721
1882.416667,-0.7940916305711693,-0.061166183961598536,-0.016277002206647802,0.7329254466095707
1882.5,-0.5625136104841133,-0.014168782872089829,-0.016252714521244802,0.5483448276120235
1882.583333,-0.09935757031000096,0.04180634935698855,-0.01622846307664676,0.14116391966698952
1882.666667,0.10561618637279807,0.04569933545356192,-0.01620424781877705,-0.05991685091923615
1882.75,-0.1646589441204503,-0.03531395813370611,-0.01618006869363975,0.12934498598674418
1882.833333,-0.6326521230953365,-0.1729052287924505,-0.01615592564731949,0.45974689430288596
1882.916667,-0.48753795907211606,-0.3012495792148663,-0.016131818625981367,0.18628837985724978
1883.0,0.058454083065251405,-0.37461139667218396,-0.016107747575870798,-0.43306547973743537
1883.083333,-0.04191654705080951,-0.4032306125770584,-0.01608371244331341,-0.3613140655262489
1883.166667,-0.5062818719251153,-0.43396594395101906,-0.016059713174714923,0.07231592797409625
1883.25,-0.722139190909656,-0.497199902925636,-0.016035749716561028,0.22493928798401996
1883.333333,-0.5534439752326621,-0.5744500024418188,-0.016011822015417263,-0.021006027209156675
1883.416667,-0.16586822882064378,-0.6208156533383224,-0.015987930017928902,-0.45494742451767867
1883.5,-0.1985189157258683,-0.6112716659995151,-0.01596407367082083,-0.4127527502736468
1883.583333,-0.5201886459773406,-0.5792515991238772,-0.01594025292089743,-0.059062953146536645
1883.666667,-0.6459542547974652,-0.5854667920713719,-0.015916467715042456,0.06048746272609329
1883.75,-0.7541852354647838,-0.6628175248884796,-0.01589271800021892,0.09136771057630422
1883.833333,-0.931950086393229,-0.7834636655483145,-0.015869003723468975,0.14848642084491448
1883.916667,-1.0794828198168367,-0.8823658235223694,-0.015845324831913796,0.19711699629446733
1884.0,-1.0619481916640305,-0.9147511603628534,-0.015821681272753456,0.14719703130117712
1884.083333,-0.8352073103777485,-0.8919711745631382,-0.01579807299326682,-0.0567638641853897
1884.166667,-0.6683260217510449,-0.8622056058119139,-0.015774499940811412,-0.19387958406086891
1884.25,-0.7523713084144934,-0.8574265449303203,-0.015750962062823316,-0.10505523651582693
1884.333333,-0.8557651502810383,-0.8609744437857504,-0.015727459306817043,-0.005209293504712109
1884.416667,-0.7511620237143001,-0.8283566939877497,-0.01570399162038542,-0.07719467027344962
1884.5,-0.40228338770847394,-0.7396252569616412,-0.015680558951199478,-0.3373418692531672
1884.583333,0.08808155821999224,-0.6281927551778286,-0.015657161247008323,-0.7162743133978208
1884.666667,0.2688696208989212,-0.5567473006936609,-0.015633798455639034,-0.825616921592582
1884.75,0.03426838906138136,-0.559899819093213,-0.015610470524996537,-0.5941682081545944
1884.833333,-0.15982180531967624,-0.6113953778504582,-0.015587177403063491,-0.4515735725307819
1884.916667,-0.12777576076454827,-0.6476182325438605,-0.015563919037900173,-0.5198424717793122
1885.0,-0.2777270635885429,-0.6250167960448524,-0.015540695377644362,-0.3472897324563095
1885.083333,-0.6574424594493032,-0.5559262283101356,-0.015517506370511223,0.10151623113916763
1885.166667,-0.7499527390141064,-0.4892541297919095,-0.015494351964793191,0.2606986092221969
