time,observed,model,forcing,residual
1887.125,-1.3570327330703074,0.058659675864884686,0.005954302716539733,1.415692408935192
1887.2083,-0.9503288568939601,-0.0009224053161652201,0.0059453536142785495,0.9494064515777949
1887.2917,-0.7022545592153396,-0.0803395185643393,0.005936417962195346,0.6219150406510003
1887.375,-0.45365254151761003,-0.13206762768181401,0.00592749574007499,0.321584913835796
1887.4583,-0.05594794875892153,-0.1628553123964358,0.00591858692773273,-0.10690736363751427
1887.5417,-0.11225847910714949,-0.22193966319048586,0.0059096915050141545,-0.10968118408333637
1887.625,0.4524427312928227,-0.34076538403432477,0.005900809451795142,-0.7932081153271475
1887.7083,0.31116927786801946,-0.7196486439454206,-0.07236481056297091,-1.0308179218134401
1887.7917,-0.0654316128704485,-0.7551143710563456,-0.07225604886228675,-0.6896827581858971
1887.875,0.028632568506705036,-0.6876642591644604,-0.07214745062651659,-0.7162968276711654
1887.9583,0.005035580599099182,-0.537046061615926,-0.07203901560997857,-0.5420816422150252
1888.0417,0.02066323140653478,-0.3819578473142815,-0.07193074356736007,-0.40262107872081626
1888.125,-0.04214564835574758,-0.2927079224497191,-0.07182263425371715,-0.2505622740939715
1888.2083,-0.3598840873009235,-0.27423132461805355,-0.07171468742447405,0.08565276268286998
1888.2917,-0.44229508893243463,-0.2752156059469225,-0.07160690283542256,0.16707948298551212
1888.375,-0.7011940204329754,-0.24845416829430267,-0.07149928024272154,0.45273985213867274
1888.4583,-0.5874869272334252,-0.20101572316395427,-0.0713918194028963,0.38647120406947094
1888.5417,-1.1013154179168594,-0.182466670251144,-0.0712845200728381,0.9188487476657154
1888.625,-0.6738290606014886,-0.22461773981029903,-0.07117738200980359,0.4492113207911896
1888.7083,-0.8346536484540608,-0.7083841339531376,-0.006108442628222729,0.12626951450092316
1888.7917,-0.544438230408897,-0.7343755898264941,-0.006099261859232821,-0.18993735941759704
1888.875,-0.5679791321308971,-0.6579055000923133,-0.006090094888607631,-0.08992636796141618
